time,gFx,gFy,gFz,TgF
17:16:38:577,0.8930,-0.0851,0.1354,0.907
17:16:38:582,0.8881,-0.0734,0.1491,0.903
17:16:38:587,0.8824,-0.0612,0.1699,0.901
17:16:38:591,0.8949,-0.0746,0.1907,0.918
17:16:38:598,0.9282,-0.1037,0.2019,0.956
17:16:38:602,0.9423,-0.0861,0.2122,0.970
17:16:38:608,0.9506,-0.0719,0.2266,0.980
17:16:38:616,0.9651,-0.0824,0.2462,0.999
17:16:38:617,0.9832,-0.1027,0.2630,1.023
17:16:38:625,0.9861,-0.1042,0.2765,1.029
17:16:38:627,0.9780,-0.0971,0.2868,1.024
17:16:38:632,0.9814,-0.1049,0.2909,1.029
17:16:38:642,0.9915,-0.1145,0.2868,1.038
17:16:38:643,1.0000,-0.1225,0.2784,1.045
17:16:38:647,0.9995,-0.1191,0.2775,1.044
17:16:38:651,1.0069,-0.1213,0.2767,1.051
17:16:38:658,1.0228,-0.1269,0.2826,1.069
17:16:38:662,1.0360,-0.1272,0.2956,1.085
17:16:38:667,1.0452,-0.1257,0.3149,1.099
17:16:38:671,1.0540,-0.1211,0.3283,1.111
17:16:38:678,1.0597,-0.1074,0.3393,1.118
17:16:38:681,1.0580,-0.0900,0.3398,1.115
17:16:38:687,1.0646,-0.0834,0.3322,1.118
17:16:38:692,1.0775,-0.0692,0.3144,1.125
17:16:38:697,1.0971,-0.0529,0.2951,1.137
17:16:38:702,1.1193,-0.0353,0.2816,1.155
17:16:38:707,1.1323,-0.0093,0.2836,1.167
17:16:38:711,1.1296,0.0200,0.3039,1.170
17:16:38:719,1.1188,0.0437,0.3237,1.166
17:16:38:726,1.1044,0.0625,0.3466,1.159
17:16:38:728,1.0829,0.0818,0.3623,1.145
17:16:38:733,1.0734,0.0928,0.3677,1.138
17:16:38:739,1.1264,0.0896,0.3608,1.186
17:16:38:742,1.2814,0.0640,0.3652,1.334
17:16:38:748,1.2723,0.0867,0.4114,1.340
17:16:38:752,1.1408,0.1581,0.5265,1.266
17:16:38:758,1.0592,0.1855,0.6136,1.238
17:16:38:762,1.0311,0.1559,0.6537,1.231
17:16:38:768,1.0641,0.0896,0.6651,1.258
17:16:38:774,1.1433,0.0439,0.6449,1.313
17:16:38:778,1.2100,0.0151,0.6009,1.351
17:16:38:782,1.2691,-0.0054,0.5297,1.375
17:16:38:788,1.2997,-0.0191,0.4464,1.374
17:16:38:793,1.3087,-0.0604,0.3892,1.367
17:16:38:799,1.3295,-0.0966,0.3354,1.375
17:16:38:803,1.3461,-0.1174,0.2921,1.382
17:16:38:807,1.3471,-0.1323,0.2567,1.378
17:16:38:813,1.3293,-0.1206,0.2352,1.355
17:16:38:818,1.2992,-0.1198,0.2217,1.323
17:16:38:825,1.2672,-0.1330,0.2039,1.290
17:16:38:828,1.2305,-0.1333,0.1731,1.250
17:16:38:832,1.1873,-0.1211,0.1291,1.200
17:16:38:843,1.1455,-0.1115,0.0861,1.154
17:16:38:844,1.1130,-0.1037,0.0570,1.119
17:16:38:848,1.0870,-0.0915,0.0489,1.092
17:16:38:856,1.0589,-0.0780,0.0621,1.064
17:16:38:860,1.0230,-0.0614,0.0912,1.029
17:16:38:867,0.9858,-0.0397,0.1215,0.994
