time,gFx,gFy,gFz,TgF
17:22:03:284,0.6810,0.0782,0.0335,0.686
17:22:03:288,0.6695,0.0777,0.0421,0.675
17:22:03:293,0.6673,0.0728,0.0526,0.673
17:22:03:298,0.6595,0.0637,0.0592,0.665
17:22:03:303,0.6634,0.0596,0.0602,0.669
17:22:03:308,0.6669,0.0576,0.0553,0.672
17:22:03:313,0.6688,0.0559,0.0472,0.673
17:22:03:319,0.6632,0.0530,0.0418,0.667
17:22:03:324,0.6764,0.0554,0.0443,0.680
17:22:03:328,0.6874,0.0571,0.0477,0.691
17:22:03:334,0.6901,0.0559,0.0528,0.694
17:22:03:338,0.6967,0.0505,0.0631,0.701
17:22:03:344,0.7074,0.0432,0.0780,0.713
17:22:03:349,0.7192,0.0368,0.0976,0.727
17:22:03:353,0.7177,0.0366,0.1120,0.727
17:22:03:358,0.7131,0.0371,0.1227,0.724
17:22:03:363,0.7057,0.0366,0.1264,0.718
17:22:03:368,0.6945,0.0368,0.1225,0.706
17:22:03:373,0.6793,0.0364,0.1152,0.690
17:22:03:378,0.6583,0.0339,0.1137,0.669
17:22:03:390,0.6326,0.0312,0.1210,0.645
17:22:03:392,0.6048,0.0276,0.1323,0.620
17:22:03:394,0.5769,0.0234,0.1460,0.596
17:22:03:399,0.5505,0.0190,0.1662,0.575
17:22:03:404,0.5280,0.0122,0.1885,0.561
17:22:03:408,0.5119,0.0026,0.1978,0.549
17:22:03:414,0.5004,-0.0052,0.1919,0.536
17:22:03:420,0.4948,-0.0113,0.1763,0.525
17:22:03:424,0.4999,-0.0103,0.1616,0.525
17:22:03:428,0.5209,0.0080,0.1499,0.542
17:22:03:435,0.5317,0.0021,0.1320,0.548
17:22:03:444,0.5429,-0.0137,0.1122,0.555
17:22:03:445,0.5586,-0.0252,0.0919,0.567
17:22:03:449,0.5764,-0.0291,0.0743,0.582
17:22:03:454,0.5947,-0.0272,0.0621,0.599
17:22:03:459,0.6070,-0.0223,0.0567,0.610
17:22:03:466,0.6143,-0.0133,0.0611,0.617
17:22:03:470,0.6163,-0.0054,0.0805,0.622
17:22:03:474,0.6199,-0.0013,0.1081,0.629
17:22:03:479,0.6287,0.0048,0.1323,0.643
17:22:03:489,0.6385,0.0144,0.1460,0.655
17:22:03:490,0.6317,0.0254,0.1462,0.649
17:22:03:494,0.6123,0.0422,0.1464,0.631
17:22:03:499,0.5943,0.0650,0.1535,0.617
17:22:03:505,0.5923,0.0855,0.1670,0.621
17:22:03:510,0.6109,0.0931,0.1853,0.645
17:22:03:516,0.6427,0.0936,0.2002,0.680
17:22:03:519,0.6815,0.0945,0.2051,0.718
17:22:03:524,0.7192,0.0945,0.2041,0.754
17:22:03:529,0.7575,0.0950,0.2066,0.791
17:22:03:534,0.7966,0.0928,0.2068,0.828
17:22:03:539,0.8377,0.0838,0.1978,0.865
17:22:03:544,0.8868,0.0686,0.1836,0.908
17:22:03:553,0.9421,0.0552,0.1658,0.958
17:22:03:555,0.9944,0.0437,0.1467,1.006
17:22:03:559,1.0418,0.0300,0.1279,1.050
17:22:03:568,1.0802,0.0131,0.1083,1.086
17:22:03:570,1.1125,-0.0133,0.0927,1.116
17:22:03:575,1.1433,-0.0250,0.0924,1.147
17:22:03:579,1.1596,0.0036,0.1152,1.165
17:22:03:585,1.1555,0.0290,0.1604,1.167
17:22:03:589,1.1464,0.0454,0.2259,1.169
17:22:03:594,1.1379,0.0637,0.2958,1.177
17:22:03:599,1.1261,0.0838,0.3528,1.183
17:22:03:605,1.1203,0.1028,0.3713,1.185
17:22:03:609,1.1305,0.1236,0.3430,1.188
17:22:03:614,1.1562,0.1405,0.2765,1.197
17:22:03:620,1.1907,0.1481,0.1939,1.215
17:22:03:625,1.2276,0.1503,0.1274,1.243
17:22:03:629,1.2606,0.1564,0.0956,1.274
17:22:03:635,1.2819,0.1710,0.0968,1.297
